image,caption
img1.jpg,a woman in a bikini on a surfboard
img10.jpg,a man climbing a rock
img11.jpg,three people standing in the rain
img12.jpg,a football game
img13.jpg,a football player in a maroon uniform
img14.jpg,a white dog
img15.jpg,a dog in a yellow tunnel
img16.jpg,two young girls sitting on a couch with a wooden block
img17.jpg,a boy swimming in the water
img18.jpg,a soccer field
img2.jpg,a group of horses standing around a fire
img3.jpg,a dog playing in the grass with its tongue
img4.jpg,a dog playing with a water hose in the yard
img5.jpg,a man doing a trick on a bike
img6.jpg,a person riding a bike on a road
img7.jpg,a bird on a hand
img8.jpg,a horse and a dog on the beach
img9.jpg,a young boy swinging a baseball bat at a ball
